ID,Temperature,L,R,A_M,Color,Spectral_Class
118,3324,0.0034,0.34,12.23,Red,M
119,3541,0.0013,0.256,14.33,Red,M
120,13420,0.00059,0.00981,13.67,Blue White,B
121,21020,0.0015,0.0112,11.52,Blue,B
122,18290,0.0013,0.00934,12.78,Blue,B
123,14520,0.00082,0.00972,11.92,Blue White,B
124,11900,0.00067,0.00898,11.38,Blue white,B
125,8924,0.00028,0.00879,14.87,Blue white,A
126,12912,0.00071,0.00945,12.83,Blue white,B
127,14732,0.00011,0.00892,12.89,white,F
128,7723,0.00014,0.00878,14.81,White,A
129,12984,0.00088,0.00996,11.23,Blue White,B
130,29560,188000,6.02,-4.01,Blue-white,B
131,8945,38,2.487,0.12,Blue-White,A
132,14060,1092,5.745,-2.04,Blue-white,A
133,16390,1278,5.68,-3.32,Blue-white,B
134,25070,14500,5.92,-3.98,Blue-white,B
135,28700,16790,6.4,-4.09,Blue-white,B
136,26140,14520,5.49,-3.8,Blue-white,B
137,20120,4720,6.78,-3.4,Blue-white,B
138,13023,998,6.21,-1.38,Blue-white,A
139,37800,202900,6.86,-4.56,Blue,O
140,3570,320000,1480,-7.58,Red,M
141,3500,138000,1420,-8.18,Red,M
142,4287,630000,1315,-9.2,Orange,K
143,26000,316000,1679,-9.1,Blue,B
144,3600,240000,1190,-7.89,Red,M
145,3614,145000,1553,-7.71,Red,M
146,18000,200000,1045,-8.3,Blue,O
147,11000,170000,1779,-9.9,Blue-white,B
148,12100,120000,708.9,-7.84,Blue-white,B
149,24490,248490,1134.5,-8.24,Blue-white,B
150,2831,0.000231,0.0915,16.21,Red,M
151,2914,0.000631,0.116,18.39,Red,M
152,3419,0.000245,0.126,17.56,Red,M
153,3218,0.000452,0.0987,17.34,Red,M
154,3453,0.000621,0.0773,17.08,Red,M
155,2889,0.000352,0.0973,16.93,Red,M
156,2968,0.000461,0.119,17.45,Red,M
157,3484,0.000551,0.0998,16.67,Red,M
158,2778,0.000849,0.112,19.45,Red,M
159,3523,0.000957,0.129,16.35,Red,M
160,3462,0.0053,0.148,11.47,Red,M
161,3257,0.0024,0.46,10.73,Red,M
162,2994,0.0072,0.28,13.45,Red,M
163,3212,0.0016,0.378,12.854,Red,M
164,3523,0.0054,0.319,12.43,Red,M
165,3598,0.0027,0.67,13.667,Red,M
166,3142,0.00132,0.258,14.12,Red,M
167,3496,0.00125,0.336,14.94,Red,M
168,3324,0.0065,0.471,12.78,Red,M
169,3463,0.0027,0.675,14.776,Red,M
170,16790,0.0014,0.0121,12.87,Blue,B
171,15680,0.00122,0.0114,11.92,Blue,B
172,14982,0.00118,0.0113,12.23,Blue,B
173,13340,0.00109,0.0116,12.9,Blue,B
174,18340,0.00134,0.0124,11.22,Blue,B
175,19920,0.00156,0.0142,11.34,Blue,B
176,24020,0.00159,0.0127,10.55,Blue,B
177,23092,0.00132,0.0104,10.18,Blue,B
178,17920,0.00111,0.0106,11.66,Blue,B
179,19360,0.00125,0.00998,11.62,Blue,B
180,22350,12450,6.36,-3.67,Blue-white,B
181,10012,552,5.856,0.013,Blue-white,A
182,13089,788,5.992,-0.12,Blue-white,A
183,22012,6748,6.64,-2.55,Blue-white,B
184,34190,198200,6.39,-4.57,Blue,O
185,32460,173800,6.237,-4.36,Blue,O
186,9320,29,1.91,1.236,Blue-white,A
187,19400,10920,6.03,-3.08,Blue-white,B
188,17140,883,5.653,-2.64,Blue-white,B
189,8250,9.25,1.93,-0.98,yellow-white,F
190,24145,382993,1494,-8.84,Blue-white,B
191,38234,272830,1356,-9.29,Blue,O
192,32489,648430,1948.5,-10.84,Blue,O
193,27739,849420,1252,-7.59,Blue-white,B
194,21904,748490,1130,-7.67,Blue-white,B
195,38940,374830,1356,-9.93,Blue,O
196,30839,834042,1194,-10.63,Blue,O
197,8829,537493,1423,-10.73,White,A
198,9235,404940,1112,-11.23,White,A
199,37882,294903,1783,-7.8,Blue,O
